sample	strainID	count	count_correct	f	f_correct
EVO_p7_2C	HAMBI_1972	626	670	0.701007838745801	0.750279955207167
EVO_p7_2C	HAMBI_1977	11	9	0.0123180291153415	0.0100783874580067
EVO_p7_2C	HAMBI_1988	2	1	0.00223964165733483	0.00111982082866741
EVO_p7_2C	HAMBI_2159	19	22	0.0212765957446809	0.0246360582306831
EVO_p7_2C	HAMBI_2160	4	3	0.00447928331466965	0.00335946248600224
EVO_p7_2C	HAMBI_2164	87	70	0.097424412094065	0.0783874580067189
EVO_p7_2C	HAMBI_2443	0	0	0	0
EVO_p7_2C	HAMBI_2494	2	3	0.00223964165733483	0.00335946248600224
EVO_p7_2C	HAMBI_2659	82	18	0.0918253079507279	0.0201567749160134
EVO_p7_2C	HAMBI_2792	0	0	0	0
EVO_p7_2C	HAMBI_3031	2	1	0.00223964165733483	0.00111982082866741
EVO_p7_2C	HAMBI_3237	0	0	0	0
ANC_p2_4C	HAMBI_0006	7	2	0.00512820512820513	0.00146520146520147
ANC_p2_4C	HAMBI_0097	17	20	0.0124542124542125	0.0146520146520147
ANC_p2_4C	HAMBI_0105	2	239	0.00146520146520147	0.175091575091575
ANC_p2_4C	HAMBI_0262	16	0	0.0117216117216117	0
ANC_p2_4C	HAMBI_0403	99	109	0.0725274725274725	0.0798534798534798
ANC_p2_4C	HAMBI_1279	15	11	0.010989010989011	0.00805860805860806
ANC_p2_4C	HAMBI_1287	10	44	0.00732600732600733	0.0322344322344322
ANC_p2_4C	HAMBI_1292	16	69	0.0117216117216117	0.0505494505494506
ANC_p2_4C	HAMBI_1299	0	0	0	0
ANC_p2_4C	HAMBI_1842	17	8	0.0124542124542125	0.00586080586080586
ANC_p2_4C	HAMBI_1896	6	9	0.0043956043956044	0.00659340659340659
ANC_p2_4C	HAMBI_1972	1	1	0.000732600732600733	0.000732600732600733
ANC_p2_4C	HAMBI_1977	60	65	0.043956043956044	0.0476190476190476
ANC_p2_4C	HAMBI_1988	8	6	0.00586080586080586	0.0043956043956044
ANC_p2_4C	HAMBI_2159	65	96	0.0476190476190476	0.0703296703296703
ANC_p2_4C	HAMBI_2160	43	47	0.0315018315018315	0.0344322344322344
ANC_p2_4C	HAMBI_2164	399	406	0.292307692307692	0.297435897435897
ANC_p2_4C	HAMBI_2443	1	32	0.000732600732600733	0.0234432234432234
ANC_p2_4C	HAMBI_2494	20	37	0.0146520146520147	0.0271062271062271
ANC_p2_4C	HAMBI_2659	553	153	0.405128205128205	0.112087912087912
ANC_p2_4C	HAMBI_2792	1	1	0.000732600732600733	0.000732600732600733
ANC_p2_4C	HAMBI_3031	8	4	0.00586080586080586	0.00293040293040293
ANC_p2_4C	HAMBI_3237	1	6	0.000732600732600733	0.0043956043956044
EVO_p8_3H	HAMBI_0006	381	91	0.354418604651163	0.0846511627906977
EVO_p8_3H	HAMBI_0097	2	2	0.00186046511627907	0.00186046511627907
EVO_p8_3H	HAMBI_0105	1	116	0.000930232558139535	0.107906976744186
EVO_p8_3H	HAMBI_0262	2	0	0.00186046511627907	0
EVO_p8_3H	HAMBI_0403	27	29	0.0251162790697674	0.0269767441860465
EVO_p8_3H	HAMBI_1279	1	1	0.000930232558139535	0.000930232558139535
EVO_p8_3H	HAMBI_1287	31	131	0.0288372093023256	0.121860465116279
EVO_p8_3H	HAMBI_1292	3	12	0.0027906976744186	0.0111627906976744
EVO_p8_3H	HAMBI_1299	0	0	0	0
EVO_p8_3H	HAMBI_1842	1	0	0.000930232558139535	0
EVO_p8_3H	HAMBI_1896	116	176	0.107906976744186	0.163720930232558
EVO_p8_3H	HAMBI_1972	23	30	0.0213953488372093	0.027906976744186
EVO_p8_3H	HAMBI_1977	66	69	0.0613953488372093	0.0641860465116279
EVO_p8_3H	HAMBI_1988	3	2	0.0027906976744186	0.00186046511627907
EVO_p8_3H	HAMBI_2159	186	267	0.173023255813953	0.248372093023256
EVO_p8_3H	HAMBI_2160	12	13	0.0111627906976744	0.012093023255814
EVO_p8_3H	HAMBI_2164	93	92	0.0865116279069767	0.0855813953488372
EVO_p8_3H	HAMBI_2443	0	0	0	0
EVO_p8_3H	HAMBI_2494	6	11	0.00558139534883721	0.0102325581395349
EVO_p8_3H	HAMBI_2659	118	32	0.109767441860465	0.0297674418604651
EVO_p8_3H	HAMBI_2792	0	0	0	0
EVO_p8_3H	HAMBI_3031	3	1	0.0027906976744186	0.000930232558139535
EVO_p8_3H	HAMBI_3237	0	0	0	0
EVO_p7_4C	HAMBI_0006	47	8	0.0560190703218117	0.00954653937947494
EVO_p7_4C	HAMBI_0097	26	20	0.0309892729439809	0.0238663484486874
EVO_p7_4C	HAMBI_0105	3	238	0.00357568533969011	0.28400954653938
EVO_p7_4C	HAMBI_0262	5	0	0.00595947556615018	0
EVO_p7_4C	HAMBI_0403	0	0	0	0
EVO_p7_4C	HAMBI_1279	5	2	0.00595947556615018	0.00238663484486874
EVO_p7_4C	HAMBI_1287	72	208	0.0858164481525626	0.248210023866348
EVO_p7_4C	HAMBI_1292	11	31	0.0131108462455304	0.0369928400954654
EVO_p7_4C	HAMBI_1299	0	0	0	0
EVO_p7_4C	HAMBI_1842	11	3	0.0131108462455304	0.0035799522673031
EVO_p7_4C	HAMBI_1896	14	15	0.0166865315852205	0.0178997613365155
EVO_p7_4C	HAMBI_1972	13	12	0.0154946364719905	0.0143198090692124
EVO_p7_4C	HAMBI_1977	2	1	0.00238379022646007	0.00119331742243437
EVO_p7_4C	HAMBI_1988	9	5	0.0107270560190703	0.00596658711217184
EVO_p7_4C	HAMBI_2159	38	37	0.0452920143027414	0.0441527446300716
EVO_p7_4C	HAMBI_2160	14	10	0.0166865315852205	0.0119331742243437
EVO_p7_4C	HAMBI_2164	262	177	0.312276519666269	0.211217183770883
EVO_p7_4C	HAMBI_2443	0	0	0	0
EVO_p7_4C	HAMBI_2494	10	12	0.0119189511323004	0.0143198090692124
EVO_p7_4C	HAMBI_2659	290	53	0.34564958283671	0.0632458233890215
EVO_p7_4C	HAMBI_2792	0	0	0	0
EVO_p7_4C	HAMBI_3031	6	2	0.00715137067938021	0.00238663484486874
EVO_p7_4C	HAMBI_3237	1	4	0.00119189511323004	0.00477326968973747
ANC_p3_3C	HAMBI_0006	9	2	0.00538277511961723	0.00119617224880383
ANC_p3_3C	HAMBI_0097	10	10	0.00598086124401914	0.00598086124401914
ANC_p3_3C	HAMBI_0105	4	392	0.00239234449760766	0.23444976076555
ANC_p3_3C	HAMBI_0262	8	0	0.00478468899521531	0
ANC_p3_3C	HAMBI_0403	78	70	0.0466507177033493	0.041866028708134
ANC_p3_3C	HAMBI_1279	8	5	0.00478468899521531	0.00299043062200957
ANC_p3_3C	HAMBI_1287	5	18	0.00299043062200957	0.0107655502392345
ANC_p3_3C	HAMBI_1292	9	32	0.00538277511961723	0.0191387559808612
ANC_p3_3C	HAMBI_1299	0	0	0	0
ANC_p3_3C	HAMBI_1842	8	3	0.00478468899521531	0.00179425837320574
ANC_p3_3C	HAMBI_1896	1	1	0.000598086124401914	0.000598086124401914
ANC_p3_3C	HAMBI_1972	5	6	0.00299043062200957	0.00358851674641148
ANC_p3_3C	HAMBI_1977	278	245	0.166267942583732	0.146531100478469
ANC_p3_3C	HAMBI_1988	6	4	0.00358851674641148	0.00239234449760766
ANC_p3_3C	HAMBI_2159	242	294	0.144736842105263	0.175837320574163
ANC_p3_3C	HAMBI_2160	72	65	0.0430622009569378	0.0388755980861244
ANC_p3_3C	HAMBI_2164	437	364	0.261363636363636	0.217703349282297
ANC_p3_3C	HAMBI_2443	1	26	0.000598086124401914	0.0155502392344498
ANC_p3_3C	HAMBI_2494	14	21	0.0083732057416268	0.0125598086124402
ANC_p3_3C	HAMBI_2659	469	106	0.280502392344498	0.0633971291866029
ANC_p3_3C	HAMBI_2792	1	1	0.000598086124401914	0.000598086124401914
ANC_p3_3C	HAMBI_3031	6	2	0.00358851674641148	0.00119617224880383
ANC_p3_3C	HAMBI_3237	1	5	0.000598086124401914	0.00299043062200957
Cont_p2_1C	HAMBI_0006	12	2	0.0916030534351145	0.0151515151515152
Cont_p2_1C	HAMBI_0097	4	3	0.0305343511450382	0.0227272727272727
Cont_p2_1C	HAMBI_0105	0	0	0	0
Cont_p2_1C	HAMBI_0262	2	0	0.0152671755725191	0
