Sample	AMP_conc	control	Evo	AB	Day	Replicate
F_T1_2_d8	0.4	62 %	EVO	5	8	2
F_T1_3_d12	0.3	112 %	EVO	5	12	3
F_T1_3_d16	1.5	63 %	EVO	5	16	3
F_T1_3_d20	0.3	111 %	EVO	5	20	3
F_T1_3_d8	0.3	92 %	EVO	5	8	3
F_T1_4_d12	3.3	118 %	EVO	5	12	4
F_T1_4_d16	0.8	78 %	EVO	5	16	4
F_T1_4_d20	0.3	110 %	EVO	5	20	4
F_T1_4_d8	0.7	101 %	EVO	5	8	4
F_T2_1_d12	0.4	137 %	EVO	50	12	1
F_T2_1_d16	1.2	12 %	EVO	50	16	1
F_T2_1_d20	0.3	90 %	EVO	50	20	1
F_T2_1_d8	0.4	100 %	EVO	50	8	1
F_T2_2_d12	0.3	124 %	EVO	50	12	2
F_T2_2_d16	0.6	66 %	EVO	50	16	2
F_T2_2_d20	0.3	93 %	EVO	50	20	2
F_T2_2_d8	0.3	72 %	EVO	50	8	2
F_T2_3_d12	0.3	119 %	EVO	50	12	3
F_T2_3_d16	2.9	11 %	EVO	50	16	3
F_T2_3_d20	0.3	88 %	EVO	50	20	3
F_T2_3_d8	0.7	90 %	EVO	50	8	3
F_T2_4_d12	0.3	116 %	EVO	50	12	4
F_T2_4_d16	0.6	77 %	EVO	50	16	4
F_T2_4_d20	2.0	110 %	EVO	50	20	4
F_T3_1_d12	0.4	118 %	EVO	500	12	1
F_T3_1_d16	0.7	91 %	EVO	500	16	1
F_T3_1_d20	0.3	113 %	EVO	500	20	1
F_T3_1_d8	0.6	72 %	EVO	500	8	1
F_T3_2_d12	0.3	67 %	EVO	500	12	2
F_T3_2_d16	0.5	50 %	EVO	500	16	2
F_T3_2_d20	0.7	92 %	EVO	500	20	2
F_T3_2_d8	1.0	63 %	EVO	500	8	2
F_T3_3_d12	0.3	129 %	EVO	500	12	3
F_T3_3_d16	0.6	64 %	EVO	500	16	3
F_T3_3_d20	0.3	146 %	EVO	500	20	3
F_T3_3_d8	0.8	64 %	EVO	500	8	3
F_T3_4_d12	0.3	106 %	EVO	500	12	4
F_T3_4_d16	0.8	52 %	EVO	500	16	4
F_T3_4_d20	0.3	126 %	EVO	500	20	4
F_T3_4_d8	0.7	54 %	EVO	500	8	4
F_T4_1_d12	0.4	58 %	EVO	0	12	1
F_T4_1_d16	4.2	7 %	EVO	0	16	1
F_T4_1_d20	0.4	95 %	EVO	0	20	1
F_T4_1_d8	0.3	100 %	EVO	0	8	1
F_T4_2_d12	0.3	80 %	EVO	0	12	2
F_T4_2_d16	0.8	53 %	EVO	0	16	2
F_T4_2_d20	0.3	117 %	EVO	0	20	2
F_T4_2_d8	0.6	105 %	EVO	0	8	2
F_T4_3_d12	0.3	196 %	EVO	0	12	3
F_T4_3_d16	1.6	13 %	EVO	0	16	3
F_T4_3_d20	0.3	96 %	EVO	0	20	3
F_T4_3_d8	0.3	112 %	EVO	0	8	3
F_T4_4_d12	0.3	102 %	EVO	0	12	4
F_T4_4_d16	0.7	63 %	EVO	0	16	4
F_T4_4_d20	0.3	114 %	EVO	0	20	4
F_T4_4_d8	0.7	90 %	EVO	0	8	4
