AB	Pop	Species	Replicate	k	auc_e
395.0617284	ANC	1842	1	0.002225349	43221
175.5829904	ANC	1842	1	0.004878739	10.865
78.03688462	ANC	1842	1	0.006890276	15.92
34.68305983	ANC	1842	1	0.00642186	12601
15.41469326	ANC	1842	1	0.010905511	24.205
6.850974782	ANC	1842	1	0.011613712	26.45
3.044877681	ANC	1842	1	0.006755068	15.64
1.353278969	ANC	1842	1	0.00918833	23.495
0.60145732	ANC	1842	1	0.362984467	708.165
0.267314364	ANC	1842	1	0.808471798	1511.74
1333.333333	ANC	97	2	0.003497986	47300
592.5925926	ANC	97	2	0.004215073	14519
263.3744856	ANC	97	2	0.006202272	14.465
117.0553269	ANC	97	2	0.004088601	43344
52.02458975	ANC	97	2	0.008169525	18.475
23.12203989	ANC	97	2	0.007120881	16.295
10.27646217	ANC	97	2	0.029202114	63.2
4.567316521	ANC	97	2	0.009815343	20.31
2.029918454	ANC	97	2	0.014200847	29.76
0.90218598	ANC	97	2	0.748852027	761.865
0.400971546	ANC	97	2	0.998334698	1823.07
0	ANC	97	2	1.207971572	2285.84
2000	ANC	1988	2	0.002156226	46447
888.8888889	ANC	1988	2	0.005793803	26938
395.0617284	ANC	1988	2	0.003422988	6.115
175.5829904	ANC	1988	2	0.004023994	45300
78.03688462	ANC	1988	2	0.008355625	19.785
34.68305983	ANC	1988	2	0.003717182	28307
15.41469326	ANC	1988	2	0.010533334	45434
6.850974782	ANC	1988	2	0.014306912	28.74
3.044877681	ANC	1988	2	0.006569514	15.36
1.353278969	ANC	1988	2	0.492151602	369.105
0.60145732	ANC	1988	2	0.40134675	372.54
0.267314364	ANC	1988	2	163248.4783	53.825
2000	ANC	2443	2	0.017229018	48.88
888.8888889	ANC	2443	2	0.004567447	35309
395.0617284	ANC	2443	2	0.00291674	5.855
175.5829904	ANC	2443	2	0.004113377	9.805
78.03688462	ANC	2443	2	0.008202271	15.435
34.68305983	ANC	2443	2	0.003001126	6.745
15.41469326	ANC	2443	2	0.010196936	22.775
6.850974782	ANC	2443	2	0.011314636	27.45
3.044877681	ANC	2443	2	0.005990417	14
1.353278969	ANC	2443	2	0.013480743	33.525
0.60145732	ANC	2443	2	0.017045062	37.765
0.267314364	ANC	2443	2	0.070419016	52.975
2000	ANC	3031	2	0.001500571	2.955
888.8888889	ANC	3031	2	0.003729269	9.505
395.0617284	ANC	3031	2	0.004138998	5.995
175.5829904	ANC	3031	2	0.004095868	9.715
78.03688462	ANC	3031	2	0.010926776	24.645
34.68305983	ANC	3031	2	0.003873956	8.505
15.41469326	ANC	3031	2	0.009157325	19.39
6.850974782	ANC	3031	2	576423.332	46.75
3.044877681	ANC	3031	2	184923.5739	18.705
1.353278969	ANC	3031	2	3065416.789	81.435
0.60145732	ANC	3031	2	0.240209297	124.545
0.267314364	ANC	3031	2	2856488.844	106.95
1333.333333	ANC	1279	2	0.006019003	26543
592.5925926	ANC	1279	2	0.005524236	28460
263.3744856	ANC	1279	2	0.030467881	11.815
117.0553269	ANC	1279	2	0.004054749	45420
52.02458975	ANC	1279	2	0.008378443	19.635
23.12203989	ANC	1279	2	0.006323758	23285
10.27646217	ANC	1279	2	0.019970749	39.51
4.567316521	ANC	1279	2	0.010937331	21.865
2.029918454	ANC	1279	2	0.014288399	30.17
0.90218598	ANC	1279	2	0.008498828	18.63
0.400971546	ANC	1279	2	0.215571029	285.16
0	ANC	1279	2	0.163663319	367.92
1333.333333	ANC	1842	2	0.002	4.685
592.5925926	ANC	1842	2	0.003585361	8.455
263.3744856	ANC	1842	2	0.005000809	12.065
117.0553269	ANC	1842	2	0.004050204	25416
52.02458975	ANC	1842	2	0.009091883	22.37
23.12203989	ANC	1842	2	0.006228403	12.905
10.27646217	ANC	1842	2	0.011965671	31.095
4.567316521	ANC	1842	2	0.005775934	16377
2.029918454	ANC	1842	2	0.007212055	16.685
0.90218598	ANC	1842	2	0.368039264	632.455
0.400971546	ANC	1842	2	0.589694042	1112.865
0	ANC	1842	2	0.395613706	733.47
1333.333333	ANC	1988	2	0.00986209	15.54
592.5925926	ANC	1988	2	0.002659221	45478
263.3744856	ANC	1988	2	0.004862299	11.215
117.0553269	ANC	1988	2	0.003110954	25355
52.02458975	ANC	1988	2	0.008045368	45429
23.12203989	ANC	1988	2	0.00626876	13.705
10.27646217	ANC	1988	2	0.018052463	34.015
4.567316521	ANC	1988	2	0.008377049	15.52
2.029918454	ANC	1988	2	0.121759144	57.17
0.90218598	ANC	1988	2	0.443986043	374.155
0.400971546	ANC	1988	2	0.372347672	330.875
0	ANC	1988	2	0.015548946	35.975
1333.333333	ANC	2443	2	0.00452171	20637
592.5925926	ANC	2443	2	0.028447934	36312
263.3744856	ANC	2443	2	0.004434697	10.395
117.0553269	ANC	2443	2	0.002803945	6.285
52.02458975	ANC	2443	2	0.006146404	13.78
23.12203989	ANC	2443	2	0.004057275	23224
10.27646217	ANC	2443	2	0.015474973	35.845
4.567316521	ANC	2443	2	0.00594774	30621
2.029918454	ANC	2443	2	0.007107652	16.725
0.90218598	ANC	2443	2	0.006802832	14.935
0.400971546	ANC	2443	2	0.010030924	19.255
0	ANC	2443	2	0.660445845	1116.575
1333.333333	ANC	3031	2	0.00269524	6.625
592.5925926	ANC	3031	2	0.003015194	7.235
263.3744856	ANC	3031	2	0.004004663	12328
117.0553269	ANC	3031	2	0.004023737	45511
52.02458975	ANC	3031	2	0.008111043	19.395
23.12203989	ANC	3031	2	0.005369417	24412
10.27646217	ANC	3031	2	17014.33289	33.44
4.567316521	ANC	3031	2	2342063.195	24.62
